time, battery, grassMean,
1,1,1,
2,1,1,
3,0.996,0.99981,
4,0.992,0.99962,
5,0.988,0.999429,
6,0.984,0.999239,
7,0.98,0.999049,
8,0.976,0.998859,
9,0.972,0.998669,
10,0.968,0.998478,
11,0.964,0.998288,
12,0.96,0.998098,
13,0.956,0.997908,
14,0.952,0.997718,
15,0.948,0.997528,
16,0.944,0.997338,
17,0.94,0.997148,
18,0.936,0.996958,
19,0.932,0.996768,
20,0.928,0.996578,
21,0.924,0.996388,
22,0.92,0.996198,
23,0.916,0.996008,
24,0.912,0.995818,
25,0.908,0.995628,
26,0.904,0.995438,
27,0.9,0.995248,
28,0.896,0.995058,
29,0.892,0.994868,
30,0.888,0.994678,
31,0.884,0.994488,
32,0.88,0.994298,
33,0.876,0.994109,
34,0.872,0.993919,
35,0.868,0.993729,
36,0.864,0.993539,
37,0.86,0.993349,
38,0.856,0.99316,
39,0.852,0.99297,
40,0.848,0.99278,
41,0.844,0.99259,
42,0.84,0.992401,
43,0.836,0.992211,
44,0.832,0.992021,
45,0.828,0.991831,
46,0.824,0.991642,
47,0.814,0.991198,
48,0.81,0.991009,
49,0.806,0.990819,
50,0.802,0.990629,
51,0.798,0.99044,
52,0.794,0.99025,
53,0.79,0.990061,
54,0.786,0.989871,
55,0.782,0.989681,
56,0.778,0.989492,
57,0.774,0.989302,
58,0.77,0.989113,
59,0.766,0.988923,
60,0.762,0.988733,
61,0.758,0.988544,
62,0.754,0.988355,
63,0.75,0.988165,
64,0.746,0.987975,
65,0.742,0.987786,
66,0.737999,0.987596,
67,0.733999,0.987407,
68,0.729999,0.987218,
69,0.725999,0.987028,
70,0.721999,0.986839,
71,0.717999,0.986649,
72,0.713999,0.98646,
73,0.709999,0.98627,
74,0.705999,0.986081,
75,0.701999,0.985891,
76,0.697999,0.985702,
77,0.693999,0.985513,
78,0.689999,0.98545,
79,0.685999,0.98526,
80,0.681999,0.985071,
81,0.677999,0.985072,
82,0.673999,0.985008,
83,0.669999,0.984819,
84,0.665999,0.98463,
85,0.661999,0.98444,
86,0.657999,0.984251,
87,0.653999,0.984188,
88,0.649999,0.984125,
89,0.645999,0.984126,
90,0.641999,0.983936,
91,0.637999,0.983747,
92,0.633999,0.983558,
93,0.629999,0.983368,
94,0.625999,0.983369,
95,0.621999,0.98337,
96,0.617999,0.98337,
97,0.613999,0.983307,
98,0.609999,0.983118,
99,0.605999,0.982929,
100,0.601999,0.982739,
101,0.597999,0.98255,
102,0.593999,0.982361,
103,0.589999,0.982171,
104,0.585999,0.981982,
105,0.581999,0.981793,
106,0.577999,0.981603,
107,0.573999,0.981414,
108,0.569999,0.981225,
109,0.565999,0.981035,
110,0.561999,0.980846,
111,0.557999,0.980657,
112,0.553999,0.980467,
113,0.549999,0.980278,
114,0.545999,0.980089,
115,0.541999,0.9799,
116,0.537999,0.97971,
117,0.533999,0.979521,
118,0.529999,0.979332,
119,0.525999,0.979333,
120,0.521999,0.979333,
121,0.517999,0.979144,
122,0.513999,0.979145,
123,0.509999,0.979081,
124,0.505999,0.978892,
125,0.501999,0.978703,
126,0.497999,0.978514,
127,0.493999,0.978451,
128,0.489999,0.978261,
129,0.485999,0.978262,
130,0.481999,0.978073,
131,0.477999,0.978074,
132,0.473999,0.978011,
133,0.469999,0.977822,
134,0.465999,0.977632,
135,0.461999,0.977443,
136,0.457999,0.977254,
137,0.453999,0.977065,
138,0.449999,0.976876,
139,0.445999,0.976686,
140,0.441999,0.976497,
141,0.437999,0.976308,
142,0.433999,0.976119,
143,0.429999,0.97593,
144,0.425999,0.97574,
145,0.421999,0.975551,
146,0.417999,0.975362,
147,0.413999,0.975173,
148,0.409999,0.974984,
149,0.405999,0.974795,
150,0.401999,0.974606,
151,0.397999,0.974417,
152,0.393999,0.974227,
153,0.389999,0.974038,
154,0.385999,0.973849,
155,0.381999,0.97366,
156,0.377999,0.97348,
157,0.373999,0.9733,
158,0.369999,0.97312,
159,0.365999,0.97294,
160,0.361999,0.97276,
161,0.357999,0.97258,
162,0.353999,0.9724,
163,0.349999,0.97222,
