sent.seconds;sent.microseconds;received.seconds;received.microseconds;sampleTimeStamp.seconds;sampleTimeStamp.microseconds;position;
1653318751;6413;1653318751;6548;1653318751;6413;0.05;
1653318752;142881;1653318752;142939;1653318752;142881;0.05;
1653318753;199610;1653318753;199655;1653318753;199610;0.05;
1653318754;376819;1653318754;376955;1653318754;376819;0.05;
1653318755;433417;1653318755;433454;1653318755;433417;0.05;
1653318756;696114;1653318756;696199;1653318756;696114;0.05;
1653318757;689457;1653318757;689493;1653318757;689457;0.05;
1653318758;762614;1653318758;762686;1653318758;762614;0.05;
1653318759;706010;1653318759;706311;1653318759;706010;0.05;
1653318760;769277;1653318760;769455;1653318760;769277;0.05;
1653318761;785504;1653318761;785537;1653318761;785504;0.05;
1653318762;738805;1653318762;738856;1653318762;738805;0.05;
1653318763;553025;1653318763;553075;1653318763;553025;0.05;
1653318764;523608;1653318764;523644;1653318764;523608;0.05;
1653318765;471686;1653318765;471754;1653318765;471686;0.05;
1653318766;527695;1653318766;527733;1653318766;527695;0.05;
1653318767;399557;1653318767;399872;1653318767;399557;0.05;
1653318768;378926;1653318768;379564;1653318768;378926;0.05;
1653318769;251666;1653318769;251707;1653318769;251666;0.05;
1653318770;349362;1653318770;349515;1653318770;349362;0.05;
1653318771;348282;1653318771;348571;1653318771;348282;0.05;
1653318772;374984;1653318772;375022;1653318772;374984;0.05;
1653318773;274427;1653318773;274470;1653318773;274427;0.05;
1653318774;148730;1653318774;148782;1653318774;148730;0.05;
1653318775;119926;1653318775;119969;1653318775;119926;0.05;
1653318776;69349;1653318776;69436;1653318776;69349;0.05;
1653318777;999;1653318777;1056;1653318777;999;0.05;
1653318777;861811;1653318777;861910;1653318777;861811;0.05;
1653318778;758222;1653318778;758260;1653318778;758222;0.05;
1653318779;686883;1653318779;687591;1653318779;686883;0.05;
1653318780;555681;1653318780;555946;1653318780;555681;0.05;
1653318781;471532;1653318781;471580;1653318781;471532;0.05;
1653318782;417522;1653318782;417573;1653318782;417522;0.05;
1653318783;350637;1653318783;350680;1653318783;350637;0.05;
1653318784;263952;1653318784;263994;1653318784;263952;0.05;
1653318784;989443;1653318784;989488;1653318784;989443;0.05;
1653318785;927397;1653318785;927436;1653318785;927397;0.05;
1653318786;826290;1653318786;826343;1653318786;826290;0.05;
1653318787;716898;1653318787;716945;1653318787;716898;0.05;
1653318788;590506;1653318788;590548;1653318788;590506;0.05;
1653318789;453563;1653318789;453606;1653318789;453563;0.05;
1653318790;374265;1653318790;374304;1653318790;374265;0.05;
1653318791;401300;1653318791;401336;1653318791;401300;0.05;
1653318792;421922;1653318792;421963;1653318792;421922;0.05;
1653318793;368737;1653318793;368785;1653318793;368737;0.05;
1653318794;419024;1653318794;419070;1653318794;419024;0.05;
1653318795;416550;1653318795;416587;1653318795;416550;0.05;
1653318796;392099;1653318796;392150;1653318796;392099;0.05;
1653318797;321797;1653318797;321956;1653318797;321797;0.05;
1653318798;289879;1653318798;289910;1653318798;289879;0.05;
1653318799;88506;1653318799;88549;1653318799;88506;0.05;
1653318799;963613;1653318799;963686;1653318799;963613;0.05;
1653318800;820219;1653318800;820265;1653318800;820219;0.05;
1653318801;807230;1653318801;807264;1653318801;807230;0.05;
1653318802;699839;1653318802;699872;1653318802;699839;0.05;
1653318803;644626;1653318803;644667;1653318803;644626;0.05;
1653318804;570478;1653318804;570513;1653318804;570478;0.05;
1653318805;539055;1653318805;539095;1653318805;539055;0.05;
1653318806;487107;1653318806;487152;1653318806;487107;0.05;
