sent.seconds;sent.microseconds;received.seconds;received.microseconds;sampleTimeStamp.seconds;sampleTimeStamp.microseconds;x;y;z;roll;pitch;yaw;
1653318750;974396;1653318750;974459;1653318750;974396;-0.4983453;-3.50193;0;0;0;-0.192031;
1653318751;74979;1653318751;75046;1653318751;74979;-0.4919046;-3.502856;0;0;0;-0.1891246;
1653318751;175273;1653318751;175329;1653318751;175273;-0.4854638;-3.503778;0;0;0;-0.1862651;
1653318751;275753;1653318751;275838;1653318751;275753;-0.4790206;-3.504682;0;0;0;-0.1834047;
1653318751;376084;1653318751;376148;1653318751;376084;-0.472575;-3.505568;0;0;0;-0.1805437;
1653318751;476609;1653318751;476687;1653318751;476609;-0.4661269;-3.506436;0;0;0;-0.1776827;
1653318751;577028;1653318751;577095;1653318751;577028;-0.4596763;-3.507285;0;0;0;-0.1748216;
1653318751;684461;1653318751;684524;1653318751;684461;-0.4532233;-3.508116;0;0;0;-0.1719606;
1653318751;792525;1653318751;792614;1653318751;792525;-0.446768;-3.508929;0;0;0;-0.1690995;
1653318751;898439;1653318751;898504;1653318751;898439;-0.4403104;-3.509723;0;0;0;-0.1662385;
1653318752;1725;1653318752;1807;1653318752;1725;-0.4338505;-3.510498;0;0;0;-0.1633774;
1653318752;102811;1653318752;102877;1653318752;102811;-0.4273884;-3.511255;0;0;0;-0.1605164;
1653318752;203199;1653318752;203274;1653318752;203199;-0.420848;-3.511487;0;0;0;-0.1522046;
1653318752;303606;1653318752;303700;1653318752;303606;-0.4142949;-3.511588;0;0;0;-0.1436147;
1653318752;404547;1653318752;404620;1653318752;404547;-0.4077391;-3.511616;0;0;0;-0.1350272;
1653318752;507088;1653318752;507160;1653318752;507088;-0.401183;-3.511586;0;0;0;-0.1264429;
1653318752;607455;1653318752;607620;1653318752;607455;-0.3946273;-3.5115;0;0;0;-0.1178591;
1653318752;708024;1653318752;708088;1653318752;708024;-0.3880727;-3.511358;0;0;0;-0.1092753;
1653318752;808353;1653318752;808418;1653318752;808353;-0.3815195;-3.511159;0;0;0;-0.1006916;
1653318752;913382;1653318752;913445;1653318752;913382;-0.3749682;-3.510904;0;0;0;-0.09210782;
1653318753;13809;1653318753;13871;1653318753;13809;-0.3684194;-3.510592;0;0;0;-0.08352406;
1653318753;114073;1653318753;114131;1653318753;114073;-0.3618735;-3.510225;0;0;0;-0.0749403;
1653318753;214526;1653318753;214680;1653318753;214526;-0.3553362;-3.509891;0;0;0;-0.06746891;
1653318753;314987;1653318753;315075;1653318753;314987;-0.3488065;-3.5096;0;0;0;-0.06067881;
1653318753;415388;1653318753;415558;1653318753;415388;-0.3422793;-3.509272;0;0;0;-0.05389526;
1653318753;516162;1653318753;516224;1653318753;516162;-0.3357546;-3.508901;0;0;0;-0.04710971;
1653318753;616800;1653318753;616859;1653318753;616800;-0.3292326;-3.508486;0;0;0;-0.04032376;
1653318753;717093;1653318753;717185;1653318753;717093;-0.3227136;-3.508027;0;0;0;-0.03353775;
1653318753;817423;1653318753;817489;1653318753;817423;-0.3161978;-3.507524;0;0;0;-0.02675174;
1653318753;917776;1653318753;917875;1653318753;917776;-0.3096855;-3.506977;0;0;0;-0.01996573;
1653318754;18209;1653318754;18269;1653318754;18209;-0.3031772;-3.506385;0;0;0;-0.01317972;
1653318754;124434;1653318754;124499;1653318754;124434;-0.296673;-3.50575;0;0;0;-0.006393703;
1653318754;229697;1653318754;229785;1653318754;229697;-0.2901732;-3.50507;0;-0;0;0.0003923106;
1653318754;330032;1653318754;330086;1653318754;330032;-0.2836783;-3.504346;0;-0;0;0.007178324;
1653318754;430302;1653318754;430373;1653318754;430302;-0.2771829;-3.503874;0;-0;0;0.01062004;
