sent.seconds;sent.microseconds;received.seconds;received.microseconds;sampleTimeStamp.seconds;sampleTimeStamp.microseconds;vx;vy;vz;rollRate;pitchRate;yawRate;
1653318750;959387;1653318750;960076;1653318750;959369;0.325;0.01903532;0;0;0;0.1907319;
1653318750;988935;1653318750;989008;1653318750;988918;0.325;0.01903532;0;0;0;0.1907319;
1653318751;17070;1653318751;17133;1653318751;17052;0.325;0.01682642;0;0;0;0.1612299;
1653318751;42402;1653318751;42503;1653318751;42377;0.325;0.01567931;0;0;0;0.1497108;
1653318751;68126;1653318751;68226;1653318751;68094;0.325;0.01506482;0;0;0;0.1453184;
1653318751;93492;1653318751;93554;1653318751;93473;0.325;0.01472686;0;0;0;0.1437088;
1653318751;121483;1653318751;121559;1653318751;121458;0.325;0.01453699;0;0;0;0.1431607;
1653318751;147112;1653318751;147311;1653318751;147079;0.325;0.01442857;0;0;0;0.1430016;
1653318751;173202;1653318751;173264;1653318751;173184;0.325;0.0143659;0;0;0;0.1429751;
1653318751;198670;1653318751;198733;1653318751;198652;0.325;0.01432934;0;0;0;0.1429872;
1653318751;224132;1653318751;224193;1653318751;224114;0.325;0.01430789;0;0;0;0.1430057;
1653318751;250358;1653318751;250489;1653318751;250336;0.325;0.01429524;0;0;0;0.1430214;
1653318751;276390;1653318751;276446;1653318751;276377;0.325;0.01428776;0;0;0;0.1430326;
1653318751;302135;1653318751;302268;1653318751;302082;0.325;0.01428332;0;0;0;0.1430401;
1653318751;327676;1653318751;327744;1653318751;327656;0.325;0.01428069;0;0;0;0.1430448;
1653318751;356454;1653318751;356518;1653318751;356436;0.325;0.01427913;0;0;0;0.1430478;
1653318751;383682;1653318751;383759;1653318751;383661;0.325;0.0142782;0;0;0;0.1430496;
1653318751;409055;1653318751;409168;1653318751;409036;0.325;0.01427764;0;0;0;0.1430507;
1653318751;439833;1653318751;439905;1653318751;439813;0.325;0.01427731;0;0;0;0.1430514;
1653318751;465153;1653318751;465232;1653318751;465132;0.325;0.01427712;0;0;0;0.1430518;
1653318751;490584;1653318751;490669;1653318751;490561;0.325;0.014277;0;0;0;0.143052;
1653318751;516113;1653318751;516184;1653318751;516093;0.325;0.01427693;0;0;0;0.1430522;
1653318751;541890;1653318751;542435;1653318751;541865;0.325;0.01427689;0;0;0;0.1430523;
